BridgeID;Year;ConstituencyID;PartyID;VoteType;Votes
1;2021;414;21;1;41721.0
1;2021;414;21;2;36421.0
1;2021;414;273;1;38927.0
1;2021;414;273;2;45508.0
1;2021;414;235;1;12299.0
1;2021;414;235;2;19189.0
1;2021;414;245;1;50231.0
1;2021;414;245;2;33300.0
1;2021;414;4;1;9768.0
1;2021;414;4;2;10317.0
1;2021;414;29;1;6544.0
1;2021;414;29;2;7475.0
1;2021;414;30;1;
1;2021;414;30;2;1844.0
1;2021;414;236;1;2324.0
1;2021;414;236;2;1715.0
1;2021;414;262;1;
1;2021;414;262;2;138.0
1;2021;414;300;1;
1;2021;414;300;2;132.0
1;2021;414;261;1;
1;2021;414;261;2;12.0
1;2021;414;31;1;3357.0
1;2021;414;31;2;2866.0
1;2021;414;33;1;
1;2021;414;33;2;40.0
1;2021;414;34;1;227.0
1;2021;414;34;2;118.0
1;2021;414;257;1;157.0
1;2021;414;257;2;73.0
1;2021;414;267;1;
1;2021;414;267;2;157.0
1;2021;414;281;1;
1;2021;414;281;2;1990.0
1;2021;414;274;1;13020.0
1;2021;414;274;2;16415.0
1;2021;414;27;1;
1;2021;414;27;2;318.0
1;2021;414;295;1;
1;2021;414;295;2;403.0
1;2021;414;287;1;
1;2021;414;287;2;194.0
2;2021;415;21;1;43745.0
2;2021;415;21;2;35511.0
2;2021;415;273;1;40026.0
2;2021;415;273;2;37926.0
2;2021;415;235;1;13958.0
2;2021;415;235;2;18350.0
2;2021;415;245;1;20611.0
2;2021;415;245;2;22588.0
2;2021;415;4;1;8274.0
2;2021;415;4;2;8798.0
2;2021;415;29;1;4060.0
2;2021;415;29;2;4437.0
2;2021;415;30;1;
2;2021;415;30;2;1322.0
2;2021;415;236;1;1510.0
2;2021;415;236;2;1081.0
2;2021;415;262;1;
2;2021;415;262;2;146.0
2;2021;415;300;1;
2;2021;415;300;2;121.0
2;2021;415;261;1;
2;2021;415;261;2;26.0
2;2021;415;31;1;2254.0
2;2021;415;31;2;1836.0
2;2021;415;33;1;
2;2021;415;33;2;33.0
2;2021;415;34;1;
2;2021;415;34;2;59.0
2;2021;415;257;1;202.0
2;2021;415;257;2;60.0
2;2021;415;267;1;
2;2021;415;267;2;130.0
2;2021;415;281;1;
2;2021;415;281;2;1604.0
2;2021;415;274;1;9410.0
2;2021;415;274;2;9516.0
2;2021;415;27;1;
2;2021;415;27;2;239.0
2;2021;415;295;1;
2;2021;415;295;2;237.0
2;2021;415;287;1;
2;2021;415;287;2;125.0
3;2021;416;21;1;39431.0
3;2021;416;21;2;32842.0
3;2021;416;273;1;39379.0
3;2021;416;273;2;37468.0
3;2021;416;235;1;19315.0
3;2021;416;235;2;18492.0
3;2021;416;245;1;16686.0
3;2021;416;245;2;19237.0
3;2021;416;4;1;10429.0
3;2021;416;4;2;11303.0
3;2021;416;29;1;4339.0
3;2021;416;29;2;4524.0
3;2021;416;30;1;
3;2021;416;30;2;1346.0
3;2021;416;236;1;2566.0
3;2021;416;236;2;1713.0
3;2021;416;262;1;
3;2021;416;262;2;190.0
3;2021;416;300;1;
3;2021;416;300;2;105.0
3;2021;416;261;1;
3;2021;416;261;2;25.0
3;2021;416;31;1;2040.0
3;2021;416;31;2;1712.0
3;2021;416;33;1;
3;2021;416;33;2;29.0
3;2021;416;34;1;
3;2021;416;34;2;77.0
3;2021;416;257;1;214.0
3;2021;416;257;2;84.0
3;2021;416;267;1;
3;2021;416;267;2;118.0
3;2021;416;281;1;
3;2021;416;281;2;1719.0
3;2021;416;274;1;
3;2021;416;274;2;3366.0
3;2021;416;27;1;
3;2021;416;27;2;283.0
3;2021;416;295;1;
3;2021;416;295;2;226.0
3;2021;416;287;1;581.0
3;2021;416;287;2;250.0
4;2021;417;21;1;47688.0
4;2021;417;21;2;38517.0
4;2021;417;273;1;49474.0
4;2021;417;273;2;43148.0
4;2021;417;235;1;12903.0
4;2021;417;235;2;19322.0
4;2021;417;245;1;23832.0
4;2021;417;245;2;28828.0
4;2021;417;4;1;10200.0
4;2021;417;4;2;10564.0
4;2021;417;29;1;4416.0
4;2021;417;29;2;5163.0
4;2021;417;30;1;2150.0
4;2021;417;30;2;1618.0
4;2021;417;236;1;1651.0
4;2021;417;236;2;1174.0
4;2021;417;262;1;
4;2021;417;262;2;158.0
4;2021;417;300;1;
4;2021;417;300;2;122.0
4;2021;417;261;1;
4;2021;417;261;2;33.0
4;2021;417;31;1;2502.0
4;2021;417;31;2;2375.0
4;2021;417;33;1;
4;2021;417;33;2;23.0
4;2021;417;34;1;
4;2021;417;34;2;69.0
4;2021;417;257;1;
4;2021;417;257;2;49.0
4;2021;417;267;1;
4;2021;417;267;2;136.0
4;2021;417;281;1;
4;2021;417;281;2;1728.0
4;2021;417;274;1;5834.0
4;2021;417;274;2;7304.0
4;2021;417;27;1;
4;2021;417;27;2;244.0
4;2021;417;295;1;
4;2021;417;295;2;253.0
4;2021;417;287;1;
4;2021;417;287;2;127.0
5;2021;418;21;1;28416.0
5;2021;418;21;2;23920.0
5;2021;418;273;1;45709.0
5;2021;418;273;2;40338.0
5;2021;418;235;1;11445.0
5;2021;418;235;2;16110.0
5;2021;418;245;1;43532.0
5;2021;418;245;2;44089.0
5;2021;418;4;1;7147.0
5;2021;418;4;2;7654.0
5;2021;418;29;1;7275.0
5;2021;418;29;2;9430.0
5;2021;418;30;1;2944.0
5;2021;418;30;2;2185.0
5;2021;418;236;1;1144.0
5;2021;418;236;2;954.0
5;2021;418;262;1;
5;2021;418;262;2;122.0
5;2021;418;300;1;
5;2021;418;300;2;116.0
5;2021;418;261;1;76.0
5;2021;418;261;2;39.0
5;2021;418;31;1;2009.0
5;2021;418;31;2;1924.0
5;2021;418;33;1;110.0
5;2021;418;33;2;88.0
5;2021;418;34;1;202.0
5;2021;418;34;2;114.0
5;2021;418;257;1;
5;2021;418;257;2;50.0
5;2021;418;267;1;
5;2021;418;267;2;299.0
5;2021;418;281;1;
5;2021;418;281;2;1676.0
5;2021;418;274;1;4141.0
5;2021;418;274;2;4486.0
5;2021;418;27;1;
5;2021;418;27;2;747.0
5;2021;418;295;1;666.0
5;2021;418;295;2;556.0
5;2021;418;287;1;
5;2021;418;287;2;171.0
6;2021;419;21;1;36870.0
6;2021;419;21;2;30290.0
6;2021;419;273;1;41497.0
6;2021;419;273;2;38670.0
6;2021;419;235;1;12420.0
6;2021;419;235;2;15901.0
6;2021;419;245;1;20740.0
6;2021;419;245;2;23051.0
6;2021;419;4;1;9404.0
6;2021;419;4;2;9741.0
6;2021;419;29;1;3718.0
6;2021;419;29;2;4232.0
6;2021;419;30;1;2196.0
6;2021;419;30;2;1300.0
6;2021;419;236;1;2386.0
6;2021;419;236;2;1275.0
6;2021;419;262;1;
6;2021;419;262;2;242.0
6;2021;419;300;1;
6;2021;419;300;2;94.0
6;2021;419;261;1;
6;2021;419;261;2;23.0
6;2021;419;31;1;2508.0
6;2021;419;31;2;2007.0
6;2021;419;33;1;
6;2021;419;33;2;34.0
6;2021;419;34;1;
6;2021;419;34;2;70.0
6;2021;419;257;1;223.0
6;2021;419;257;2;94.0
6;2021;419;267;1;
6;2021;419;267;2;111.0
6;2021;419;281;1;
6;2021;419;281;2;1446.0
6;2021;419;274;1;
6;2021;419;274;2;3203.0
6;2021;419;27;1;
6;2021;419;27;2;415.0
6;2021;419;295;1;
6;2021;419;295;2;230.0
6;2021;419;287;1;
6;2021;419;287;2;98.0
7;2021;420;21;1;49710.0
7;2021;420;21;2;42057.0
7;2021;420;273;1;59298.0
7;2021;420;273;2;55693.0
7;2021;420;235;1;20737.0
7;2021;420;235;2;25663.0
7;2021;420;245;1;32109.0
7;2021;420;245;2;34291.0
7;2021;420;4;1;12141.0
7;2021;420;4;2;13080.0
7;2021;420;29;1;5659.0
7;2021;420;29;2;6363.0
7;2021;420;30;1;2352.0
7;2021;420;30;2;1805.0
7;2021;420;236;1;2380.0
7;2021;420;236;2;1731.0
7;2021;420;262;1;
7;2021;420;262;2;188.0
7;2021;420;300;1;
7;2021;420;300;2;202.0
7;2021;420;261;1;
7;2021;420;261;2;21.0
7;2021;420;31;1;2895.0
7;2021;420;31;2;2389.0
7;2021;420;33;1;
7;2021;420;33;2;59.0
7;2021;420;34;1;
7;2021;420;34;2;127.0
7;2021;420;257;1;166.0
7;2021;420;257;2;108.0
7;2021;420;267;1;
7;2021;420;267;2;182.0
7;2021;420;281;1;
7;2021;420;281;2;2320.0
7;2021;420;274;1;2622.0
7;2021;420;274;2;2527.0
7;2021;420;27;1;
7;2021;420;27;2;799.0
7;2021;420;295;1;
7;2021;420;295;2;457.0
7;2021;420;287;1;
7;2021;420;287;2;208.0
8;2021;421;21;1;55265.0
8;2021;421;21;2;44285.0
8;2021;421;273;1;63369.0
8;2021;421;273;2;56658.0
8;2021;421;235;1;20575.0
8;2021;421;235;2;27675.0
8;2021;421;245;1;27109.0
8;2021;421;245;2;33361.0
8;2021;421;4;1;14040.0
8;2021;421;4;2;14527.0
8;2021;421;29;1;6202.0
8;2021;421;29;2;6468.0
8;2021;421;30;1;3299.0
8;2021;421;30;2;2226.0
8;2021;421;236;1;4670.0
8;2021;421;236;2;2297.0
8;2021;421;262;1;
8;2021;421;262;2;225.0
8;2021;421;300;1;
8;2021;421;300;2;194.0
8;2021;421;261;1;
8;2021;421;261;2;30.0
8;2021;421;31;1;3389.0
8;2021;421;31;2;2839.0
8;2021;421;33;1;
8;2021;421;33;2;54.0
8;2021;421;34;1;
8;2021;421;34;2;119.0
8;2021;421;257;1;
8;2021;421;257;2;53.0
8;2021;421;267;1;
8;2021;421;267;2;186.0
8;2021;421;281;1;
8;2021;421;281;2;2663.0
8;2021;421;274;1;
8;2021;421;274;2;3108.0
8;2021;421;27;1;
8;2021;421;27;2;586.0
8;2021;421;295;1;
8;2021;421;295;2;509.0
8;2021;421;287;1;
8;2021;421;287;2;202.0
9;2021;422;21;1;42991.0
9;2021;422;21;2;35564.0
9;2021;422;273;1;47714.0
9;2021;422;273;2;42520.0
9;2021;422;235;1;13289.0
9;2021;422;235;2;17986.0
9;2021;422;245;1;19025.0
9;2021;422;245;2;22314.0
9;2021;422;4;1;9647.0
9;2021;422;4;2;10073.0
9;2021;422;29;1;4122.0
9;2021;422;29;2;4036.0
9;2021;422;30;1;
9;2021;422;30;2;1104.0
9;2021;422;236;1;2582.0
9;2021;422;236;2;1603.0
9;2021;422;262;1;
9;2021;422;262;2;198.0
9;2021;422;300;1;
9;2021;422;300;2;102.0
9;2021;422;261;1;
9;2021;422;261;2;13.0
9;2021;422;31;1;2032.0
9;2021;422;31;2;1691.0
9;2021;422;33;1;
9;2021;422;33;2;28.0
9;2021;422;34;1;
9;2021;422;34;2;65.0
9;2021;422;257;1;
9;2021;422;257;2;29.0
9;2021;422;267;1;
9;2021;422;267;2;88.0
9;2021;422;281;1;
9;2021;422;281;2;1729.0
