PartyID;ShortName;LongName
1;#KLIMAfirst;Erststimme fürs Klima
2;#TeamFranka;Unabhängig! Für Dich. Für Uns. Für Alle.
3;abgeordnetenwatch.de/profile/christian-pape;abgeordnetenwatch.de/profile/christian-pape
4;AfD;Alternative für Deutschland
5;Alle in EU;Alle in EU
6;Andreas Papst;Andreas Papst
7;B*;bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken
8;Baasch, Björn;Baasch, Björn
9;Bedingungsloses-Grundeinkommen-als-Menschenrecht.de;Bedingungsloses-Grundeinkommen-als-Menschenrecht.de
10;Benjamin Jäger;Benjamin Jäger
11;BP;Bayernpartei
12;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit
13;BUNDESTAGVERKLEINERUNG;BUNDESTAGVERKLEINERUNG
14;Bündnis BERNHARD WINTER: Erfahren. Anders. Ja;Bündnis BERNHARD WINTER: Erfahren. Anders. Ja
15;Bündnis C;Bündnis C - Christen für Deutschland
16;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND
17;BÜNDNIS21;diePinken/BÜNDNIS21
18;Bürger für Gerechtigkeit;Bürger für Gerechtigkeit
19;BÜRGERBEWEGUNG;Bürgerbewegung für Fortschritt und Wandel
20;BüSo;Bürgerrechtsbewegung Solidarität
21;CDU;Christlich Demokratische Union Deutschlands
22;CSU;Christlich-Soziale Union in Bayern e.V.
23;Danilo Dröse;Danilo Dröse
24;DEMOKRATIE Verantwortung und Gerechtigkeit;DEMOKRATIE Verantwortung und Gerechtigkeit
25;Dialog statt Aufrüstung;Dialog statt Aufrüstung
26;DiB;DEMOKRATIE IN BEWEGUNG
27;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
28;Die Grauen;Die Grauen - Für alle Generationen
29;Die Linke;Die Linke
30;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
31;dieBasis;Basisdemokratische Partei Deutschland
32;Direkte Demokratie und NATO-Austritt;Direkte Demokratie und NATO-Austritt
33;DKP;Deutsche Kommunistische Partei
34;du.;Die Urbane. Eine HipHop Partei
35;DUW - Stimme für VOLKSENTSCHEIDE;DUW - Stimme für VOLKSENTSCHEIDE
36;EB: Asmus;ASMUSfddB
37;EB: Balzer;Internationalistisches Bündnis
38;EB: Barth;Internationalistische Liste
39;EB: Bartholomé;Internationalistisches Bündnis
40;EB: Bauer;Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!
41;EB: Baumanns;KLIMAgerechtigkeitsLISTE
42;EB: Baydar;Internationalistische Liste
43;EB: Bayer;www.zeitkaufhaus.de Martin Bayer
44;EB: Bechtel;Politik durch Bodenständigkeit und Bürgerbeteiligung
45;EB: Berger;Gebhard Berger
46;EB: Bibiella;BibiellaBTW
47;EB: Bieling;Marko Bieling
48;EB: Bilo;Bilo - für Mülheim nach Berlin
49;EB: Blickle;Internationalistisches Bündnis
