Year;ShortName;LongName;PartyID
2021;#KLIMAfirst;Erststimme fürs Klima;1
2021;#TeamFranka;Unabhängig! Für Dich. Für Uns. Für Alle.;2
2025;abgeordnetenwatch.de/profile/christian-pape;abgeordnetenwatch.de/profile/christian-pape;3
2021;AfD;Alternative für Deutschland;4
2025;AfD;Alternative für Deutschland;4
2025;Alle in EU;Alle in EU;5
2025;Andreas Papst;Andreas Papst;6
2021;B*;bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken;7
2025;Baasch, Björn;Baasch, Björn;8
2025;Bedingungsloses-Grundeinkommen-als-Menschenrecht.de;Bedingungsloses-Grundeinkommen-als-Menschenrecht.de;9
2025;Benjamin Jäger;Benjamin Jäger;10
2021;BP;Bayernpartei;11
2025;BP;Bayernpartei;11
2025;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;12
2025;BUNDESTAGVERKLEINERUNG;BUNDESTAGVERKLEINERUNG;13
2025;Bündnis BERNHARD WINTER: Erfahren. Anders. Ja;Bündnis BERNHARD WINTER: Erfahren. Anders. Ja;14
2021;Bündnis C;Bündnis C - Christen für Deutschland;15
2025;Bündnis C;Bündnis C - Christen für Deutschland;15
2025;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;16
2021;BÜNDNIS21;diePinken/BÜNDNIS21;17
2025;Bürger für Gerechtigkeit;Bürger für Gerechtigkeit;18
2021;BÜRGERBEWEGUNG;Bürgerbewegung für Fortschritt und Wandel;19
2021;BüSo;Bürgerrechtsbewegung Solidarität;20
2025;BüSo;Bürgerrechtsbewegung Solidarität;20
2021;CDU;Christlich Demokratische Union Deutschlands;21
2025;CDU;Christlich Demokratische Union Deutschlands;21
2021;CSU;Christlich-Soziale Union in Bayern e.V.;22
2025;CSU;Christlich-Soziale Union in Bayern e.V.;22
2025;Danilo Dröse;Danilo Dröse;23
2025;DEMOKRATIE Verantwortung und Gerechtigkeit;DEMOKRATIE Verantwortung und Gerechtigkeit;24
2025;Dialog statt Aufrüstung;Dialog statt Aufrüstung;25
2021;DiB;DEMOKRATIE IN BEWEGUNG;26
2021;Team Todenhöfer;Team Todenhöfer - Die Gerechtigkeitspartei;27
2025;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;27
2021;Die Grauen;Die Grauen - Für alle Generationen;28
2021;DIE LINKE;DIE LINKE;29
2025;Die Linke;Die Linke;29
2021;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;30
2025;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;30
2021;dieBasis;Basisdemokratische Partei Deutschland;31
2025;dieBasis;Basisdemokratische Partei Deutschland;31
2025;Direkte Demokratie und NATO-Austritt;Direkte Demokratie und NATO-Austritt;32
2021;DKP;Deutsche Kommunistische Partei;33
2021;du.;Die Urbane. Eine HipHop Partei;34
2025;DUW - Stimme für VOLKSENTSCHEIDE;DUW - Stimme für VOLKSENTSCHEIDE;35
2021;EB: Asmus;ASMUSfddB;36
2021;EB: Balzer;Internationalistisches Bündnis;37
2021;EB: Barth;Internationalistische Liste;38
2021;EB: Bartholomé;Internationalistisches Bündnis;39
2021;EB: Bauer;Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!;40
2021;EB: Baumanns;KLIMAgerechtigkeitsLISTE;41
2021;EB: Baydar;Internationalistische Liste;42
2021;EB: Bayer;www.zeitkaufhaus.de Martin Bayer;43
2021;EB: Bechtel;Politik durch Bodenständigkeit und Bürgerbeteiligung;44
2021;EB: Berger;Gebhard Berger;45
2021;EB: Bibiella;BibiellaBTW;46
2021;EB: Bieling;Marko Bieling;47
2021;EB: Bilo;Bilo - für Mülheim nach Berlin;48
2021;EB: Blickle;Internationalistisches Bündnis;49
2021;EB: Blum;Klimaliste;50
2021;EB: Brehm;BRD braucht Brehm;51
2021;EB: Brähmig;Brähmig;52
2021;EB: Bunte;Zeit zählt!;53
2021;EB: Buro;Gesicht zeigen;54
2021;EB: Böving;ADONIS;55
2021;EB: Carstensen;Marburger Pogo-Anarchisten;56
2021;EB: Charnow;Parteilos;57
2021;EB: Commentz;Demokratie verteidigen;58
2021;EB: Conrad;für mehr Bürgerbeteiligung;59
2021;EB: Demir;Demir;60
2021;EB: Deutsch;Internationalistisches-Bündnis;61
2021;EB: Dippel;#parteifrei #Gemeinsam gewinnen! #Gemeinsam verändern! Einfach mal anders: Erststimme Dippel!;62
2021;EB: Dorn;Aktion Bürger für Gerechtigkeit;63
2021;EB: Dumberger;Internationalistische Liste;64
2021;EB: Dönmez;Deutschland ist Önders;65
