PersonID;Year;PartyListID;Listenplatz
7;2021;154.0;5
14;2021;201.0;10
15;2021;82.0;13
16;2021;102.0;23
17;2021;206.0;5
23;2021;195.0;3
25;2021;133.0;7
27;2021;204.0;10
28;2021;314.0;5
32;2021;127.0;38
33;2021;233.0;6
34;2021;183.0;7
36;2021;9.0;59
40;2021;258.0;10
42;2021;23.0;1
43;2021;86.0;4
45;2021;162.0;16
46;2021;162.0;1
48;2021;207.0;3
50;2021;191.0;2
53;2021;6.0;42
54;2021;300.0;1
59;2021;68.0;6
60;2021;85.0;34
61;2021;52.0;6
63;2021;21.0;24
67;2021;199.0;11
69;2021;3.0;64
71;2021;211.0;6
72;2021;85.0;35
73;2021;169.0;1
75;2021;298.0;4
76;2021;4.0;31
78;2021;236.0;3
84;2021;195.0;8
87;2021;328.0;9
88;2021;117.0;6
89;2021;154.0;13
95;2021;348.0;5
99;2021;224.0;1
101;2021;70.0;30
102;2021;194.0;5
104;2021;127.0;51
105;2021;197.0;3
107;2021;33.0;20
111;2021;6.0;80
113;2021;18.0;70
115;2021;4.0;23
116;2021;196.0;10
117;2021;232.0;21
118;2021;19.0;33
121;2021;269.0;9
123;2021;161.0;13
124;2021;119.0;45
125;2021;183.0;4
126;2021;224.0;2
127;2021;257.0;6
128;2021;6.0;50
129;2021;260.0;3
132;2021;225.0;4
133;2021;71.0;55
136;2021;157.0;9
137;2021;308.0;17
140;2021;189.0;13
148;2021;81.0;3
149;2021;71.0;35
150;2021;120.0;11
151;2021;262.0;3
153;2021;110.0;18
154;2021;312.0;1
157;2021;277.0;15
159;2021;206.0;1
160;2021;157.0;6
163;2021;200.0;20
164;2021;130.0;1
165;2021;11.0;40
169;2021;3.0;34
173;2021;343.0;2
177;2021;9.0;49
178;2021;311.0;1
179;2021;120.0;7
182;2021;2.0;52
183;2021;9.0;62
185;2021;272.0;3
187;2021;66.0;9
188;2021;264.0;8
191;2021;101.0;5
194;2021;121.0;17
195;2021;313.0;6
196;2021;71.0;31
197;2021;279.0;3
209;2021;166.0;6
210;2021;314.0;8
211;2021;304.0;8
214;2021;200.0;19
216;2021;21.0;23
217;2021;352.0;3
220;2021;319.0;2
222;2021;258.0;8
