PartyListID;Year;StateID;PartyID;VoteCount
1;2021;10;273;5948854.0
2;2021;10;21;5540177.0
3;2021;4;22;5190875.0
4;2021;3;21;3244928.0
5;2021;9;273;3102285.0
6;2021;10;245;3087763.0
7;2021;4;273;2677545.0
8;2021;3;273;2535389.0
9;2021;9;21;2416649.0
10;2021;4;245;2091565.0
11;2021;3;245;2080560.0
12;2021;10;235;1981491.0
13;2021;6;273;1910164.0
14;2021;6;21;1662659.0
15;2021;3;235;1619736.0
16;2021;10;4;1422530.0
17;2021;11;273;1382717.0
18;2021;4;235;1378395.0
19;2021;9;245;1373461.0
20;2021;4;4;1314013.0
21;2021;11;21;1263358.0
22;2021;14;4;1239925.0
23;2021;4;236;1154237.0
24;2021;3;4;1132394.0
25;2021;12;273;1024356.0
26;2021;6;245;1001946.0
27;2021;14;21;969161.0
28;2021;1;273;888326.0
29;2021;14;273;885573.0
30;2021;12;21;854374.0
31;2021;2;273;845452.0
32;2021;9;235;822440.0
33;2021;2;245;789114.0
34;2021;6;235;737333.0
35;2021;10;29;684816.0
36;2021;12;245;638396.0
37;2021;2;21;634529.0
38;2021;7;273;633173.0
39;2021;9;4;628466.0
40;2021;16;4;602204.0
41;2021;15;273;598282.0
42;2021;16;273;595470.0
43;2021;6;4;576315.0
44;2021;1;4;557390.0
45;2021;15;21;551649.0
46;2021;11;245;540381.0
47;2021;8;273;528776.0
48;2021;1;21;517559.0
49;2021;14;29;512812.0
50;2021;14;235;491228.0
51;2021;7;245;487860.0
52;2021;15;4;477557.0
53;2021;16;21;477440.0
54;2021;2;29;469294.0
55;2021;11;235;465811.0
56;2021;13;273;422106.0
57;2021;11;4;420995.0
58;2021;4;29;398368.0
59;2021;12;235;387230.0
60;2021;14;245;383704.0
61;2021;3;29;372565.0
62;2021;8;21;340772.0
63;2021;8;4;335319.0
64;2021;7;21;334792.0
65;2021;2;4;300828.0
66;2021;16;29;300311.0
67;2021;2;235;295615.0
68;2021;13;21;294457.0
69;2021;9;29;291442.0
70;2021;4;31;288544.0
71;2021;10;30;278695.0
72;2021;6;29;273042.0
73;2021;1;29;272390.0
74;2021;1;235;263520.0
75;2021;1;245;257477.0
76;2021;3;236;247033.0
77;2021;15;29;242906.0
78;2021;3;31;242259.0
79;2021;12;4;233207.0
80;2021;8;29;217768.0
81;2021;5;273;211656.0
82;2021;10;31;210823.0
83;2021;15;235;210108.0
84;2021;16;235;203291.0
