Year;Nachname;Vornamen;Geburtsjahr;Geburtsort;Geschlecht;PersonID
2021;Abdi;Sanae;1986;Tetouan, Marokko;w;1
2021;Abel;Valentin Christian;1991;Künzelsau;m;2
2021;Abelein;Urs Jakob;1991;Esslingen am Neckar;m;3
2021;Abelmann;Jürgen;1958;Kiel;m;4
2021;Abeln;Carolin;1992;Bremen;w;5
2021;Abercron;Ernst Michael;1952;Wangels-Ehlerstorf;m;6
2021;Abou-Zaher;Jonas;1995;Nürnberg;m;7
2021;Abraham;Knut Friedrich Alexander;1966;Hamburg;m;8
2021;Abramik;Paula Bianka;1996;Gubin;w;9
2021;Abstoß;Christian;1991;Wipperfürth;m;10
2021;Abt;Alexander;1971;Memmingen;m;11
2021;Acar;Jutta;1958;Köln;w;12
2021;Achelwilm;Doris;1976;Thuine;w;13
2021;Achenbach;Ulrich;1954;Bochum;m;14
2021;Achers-von Thenen;Petra;1966;Krefeld;w;15
2021;Achtziger;Alina Christiane;1999;Bamberg;w;16
2021;Ackermann;Stefan;1989;Speyer;m;17
2021;Adams;Swen;1976;Bad Laer;m;18
2021;Adamy;Wilfried;1963;Essen;m;19
2021;Adler;Hans-Henning;1949;Göttingen;m;20
2021;Adler;Katja;1974;Eisenhüttenstadt;w;21
2021;Adler;Sebastian;1984;Greifswald;m;22
2021;Adomeit;Joachim;1977;Rüsselsheim;m;23
2021;Adrian;Andreas;1999;Miltenberg;m;24
2021;Aechtner;Kristin;1996;Potsdam;w;25
2021;Aeffner;Stephanie;1976;Donaueschingen;w;26
2021;Aegenvoort;Manfred;1944;Danzig;m;27
2021;Afshari;Najia;1968;Kabul, Afghanistan;w;28
2021;Aggelidis;Grigorios;1965;Hannover;m;29
2021;Aggelidis;Michael Georg;1962;Dormagen;m;30
2021;Agu;Diyar;1999;Gummersbach;m;31
2021;Ahlheim;Sven;1981;Erbach;m;32
2021;Ahlswede;Sophia;1998;Hamburg;w;33
2021;Ahmadi;Gholam Abbas;1955;Kabul, Afghanistan;m;34
2021;Ahmetovic;Adis;1993;Hannover;m;35
2021;Ahnefeld;Andreas;1984;Stadthagen;m;36
2021;Ahnemüller;Jens;1961;Apolda;m;37
2021;Ahrends;Jens;1960;Bremen;m;38
2021;Ahrens;Karlotta;1987;Celle;w;39
2021;Ahrens;Melanie Anna;1988;Burglengenfeld;w;40
2021;Aicher;Julian;1958;Ulm;m;41
2021;Aiwanger;Hubert;1971;Rahstorf;m;42
2021;Akbulut;Cetin;1972;Islahiye, Türkei;m;43
2021;Akbulut;Gökay;1982;Pınarbaşı;w;44
2021;Akhtar;Asif;1981;Frankfurt am Main;m;45
2021;Akhtar;Khurrem;1977;Frankfurt am Main;m;46
2021;Akkamis;Gökhan;1997;Hagen (Westf.);m;47
2021;Akman;Kemal;1979;Istanbul, Türkei;m;48
2021;Aktürk;Erhan;1965;Kigi/Bingol, Türkei;m;49
2021;Al Basri;Saif;1989;Bagdad;m;50
2021;Al-Dailami;Ali Abass Yahya;1981;Sana'a, Jemen;m;51
2021;Al-Halak;Muhanad;1989;Dyala, Irak;m;52
2021;Al-Qura'an;Anas;2003;Düsseldorf;m;53
2021;Al-Wattar;Ibrahim;1982;Henstedt-Ulzburg;m;54
2021;Alabali-Radovan;Reem;1990;Moskau;w;55
2021;Albani;Stephan Theodor Johannes;1968;Göttingen;m;56
2021;Albers;Friedrich-Bernd;1969;Emden;m;57
2021;Albers;Hagen Gerwald;1982;Osnabrück;m;58
2021;Albert;Julia Friederike;1990;Neunkirchen/Saar;w;59
2021;Albert;Karl Joachim;1958;Neuwied;m;60
2021;Albrecht;Birgit;1965;Rathenow;w;61
2021;Albrecht;Erich Willy;1950;Weimar;m;62
2021;Albrecht;Jutta;1961;Daun;w;63
2021;Albrecht;Philipp Josef Erich;1995;Damme;m;64
2021;Albrecht;Roman;1992;Mindelheim;m;65
2021;Aldemir;Aziz;1970;Midyat;m;66
2021;Aldenhoven;Christina Flora;1983;Duisburg;w;67
2021;Aldinger;Brigitte;1965;Schorndorf;w;68
2021;Alesik;Nicole;1994;Nürnberg;w;69
2021;Ali;Nemir;1996;Münster;m;70
2021;Ali;Samer;1991;Muadamiehe;m;71
