BridgeID;Year;ConstituencyID;EligibleVoters;TotalVoters;Percent;PrevVotes;PrevPercent;DiffPercentPts;InvalidFirst;InvalidSecond;ValidFirst;ValidSecond
1;2021;414;231536.0;180112.0;77.79006288438947;228471.0;75.245436;2.544627;1537.0;1487.0;178575.0;178625.0
2;2021;415;188267.0;145387.0;77.2238363600631;186568.0;74.60765;2.616187;1337.0;1242.0;144050.0;144145.0
3;2021;416;176899.0;136299.0;77.04905058818873;176636.0;74.739577;2.309473;1319.0;1190.0;134980.0;135109.0
4;2021;417;202226.0;162060.0;80.1380633548604;200831.0;78.35145;1.786614;1410.0;1105.0;160650.0;160955.0
5;2021;418;202482.0;155986.0;77.03697118756236;204650.0;74.895187;2.141784;1170.0;918.0;154816.0;155068.0
6;2021;419;174908.0;133721.0;76.45219200951358;174937.0;75.291676;1.160516;1759.0;1194.0;131962.0;132527.0
7;2021;420;238388.0;191512.0;80.33625853650351;238533.0;78.69561;1.640648;1443.0;1242.0;190069.0;190270.0
8;2021;421;249202.0;199618.0;80.10288841983612;247296.0;78.15735;1.945539;1700.0;1353.0;197918.0;198265.0
9;2021;422;183138.0;143092.0;78.13342943572607;181522.0;76.265687;1.867743;1301.0;1126.0;141791.0;141966.0
10;2021;423;246277.0;196903.0;79.95184284362729;244930.0;78.934389;1.017453;1576.0;1316.0;195327.0;195587.0
11;2021;424;179394.0;131455.0;73.27725564957579;181638.0;72.100001;1.177255;1580.0;1218.0;129875.0;130237.0
12;2021;218;214853.0;156565.0;72.87075349192239;216800.0;72.449723;0.42103;2957.0;2402.0;153608.0;154163.0
13;2021;219;205042.0;146362.0;71.38147306405517;205876.0;71.289514;0.091959;2316.0;2258.0;144046.0;144104.0
14;2021;220;222705.0;165329.0;74.23677061583709;222913.0;73.578481;0.658289;2319.0;2352.0;163010.0;162977.0
15;2021;221;241066.0;168922.0;70.07292608663188;240887.0;70.376567;-0.303641;2769.0;3143.0;166153.0;165779.0
16;2021;222;221421.0;154240.0;69.65915608727266;226039.0;69.441557;0.2176;3572.0;3202.0;150668.0;151038.0
17;2021;223;209348.0;143622.0;68.60442898905173;212099.0;68.005507;0.598922;3021.0;2824.0;140601.0;140798.0
18;2021;212;242078.0;179637.0;74.20624757309628;243543.0;72.156046;2.050201;1439.0;1082.0;178198.0;178555.0
19;2021;213;187705.0;152720.0;81.3617111957593;185944.0;78.566665;2.795046;837.0;625.0;151883.0;152095.0
20;2021;214;193823.0;160970.0;83.04999922609804;192399.0;81.088259;1.96174;931.0;605.0;160039.0;160365.0
21;2021;215;219909.0;185457.0;84.33351977408837;217226.0;82.292175;2.041345;1234.0;766.0;184223.0;184691.0
22;2021;216;233483.0;174014.0;74.52962314172767;235513.0;73.275785;1.253838;1678.0;1193.0;172336.0;172821.0
23;2021;217;221794.0;158246.0;71.34818795819544;222031.0;70.151465;1.196723;1601.0;1229.0;156645.0;157017.0
24;2021;224;191846.0;137847.0;71.8529445492739;191541.0;74.488491;-2.635546;2286.0;1653.0;135561.0;136194.0
25;2021;225;238506.0;175826.0;73.71973870678306;235234.0;74.964503;-1.244765;2079.0;1550.0;173747.0;174276.0
26;2021;226;189047.0;134164.0;70.96859511126863;189344.0;73.492162;-2.523567;1188.0;1234.0;132976.0;132930.0
27;2021;227;228705.0;173725.0;75.96029820073895;226253.0;77.774438;-1.81414;1397.0;1175.0;172328.0;172550.0
28;2021;228;226827.0;163753.0;72.19290472474617;227696.0;74.746153;-2.553248;1781.0;1595.0;161972.0;162158.0
29;2021;229;188602.0;140739.0;74.62222033700597;187679.0;75.515108;-0.892888;1067.0;1023.0;139672.0;139716.0
30;2021;230;198576.0;151821.0;76.45485859318346;197297.0;77.570363;-1.115505;1188.0;935.0;150633.0;150886.0
31;2021;231;233253.0;180543.0;77.40221990713945;230151.0;78.127403;-0.725183;1330.0;1104.0;179213.0;179439.0
32;2021;232;223948.0;164507.0;73.4576776751746;220042.0;74.3808;-0.923122;1321.0;1155.0;163186.0;163352.0
33;2021;233;194371.0;146954.0;75.60489990790808;193934.0;76.468283;-0.863383;1460.0;982.0;145494.0;145972.0
34;2021;234;197490.0;151308.0;76.61552483670059;196136.0;78.025452;-1.409927;1927.0;1089.0;149381.0;150219.0
35;2021;235;168927.0;125100.0;74.05565717736063;168101.0;75.592055;-1.536398;934.0;896.0;124166.0;124204.0
36;2021;236;201740.0;161635.0;80.12045206701696;199081.0;81.292037;-1.171585;1122.0;893.0;160513.0;160742.0
37;2021;237;182673.0;139183.0;76.19243128431678;180865.0;77.958698;-1.766267;1546.0;1077.0;137637.0;138106.0
38;2021;238;199960.0;151837.0;75.93368673734747;199131.0;75.981138;-0.047451;1251.0;1379.0;150586.0;150458.0
39;2021;239;195467.0;149541.0;76.50447390096538;196720.0;77.321574;-0.8171;1335.0;1031.0;148206.0;148510.0
40;2021;240;193863.0;142895.0;73.70926891670922;194800.0;75.294148;-1.584879;1248.0;1103.0;141647.0;141792.0
