BridgeID;ValidFirst;ValidSecond;PartyFirstVotes;FirstDiff
300;191785.0;191894.0;191732.0;-53.0
301;152717.0;152915.0;152712.0;-5.0
302;145247.0;145592.0;145435.0;188.0
304;166196.0;166309.0;166180.0;-16.0
306;199102.0;199319.0;199099.0;-3.0
307;210047.0;210509.0;210049.0;2.0
308;149672.0;149995.0;149670.0;-2.0
309;206631.0;207001.0;206632.0;1.0
311;169758.0;170424.0;169749.0;-9.0
312;161231.0;161724.0;161226.0;-5.0
313;177568.0;178020.0;177565.0;-3.0
314;184664.0;185085.0;184652.0;-12.0
315;166076.0;166830.0;166084.0;8.0
316;158426.0;159159.0;158427.0;1.0
317;187794.0;188356.0;187751.0;-43.0
318;157644.0;158186.0;157538.0;-106.0
319;164592.0;165063.0;164572.0;-20.0
320;189117.0;189572.0;189066.0;-51.0
321;178285.0;178965.0;178142.0;-143.0
322;164866.0;165478.0;164458.0;-408.0
323;154424.0;154683.0;154427.0;3.0
324;196844.0;197223.0;196843.0;-1.0
325;149649.0;149918.0;149629.0;-20.0
326;192715.0;193187.0;192716.0;1.0
327;183544.0;184090.0;183538.0;-6.0
328;154032.0;154389.0;154033.0;1.0
329;165920.0;166373.0;165902.0;-18.0
330;198314.0;198610.0;198319.0;5.0
331;185977.0;186176.0;185976.0;-1.0
332;160975.0;161340.0;160959.0;-16.0
333;165089.0;165420.0;165063.0;-26.0
334;138258.0;138599.0;138252.0;-6.0
335;173955.0;174429.0;173958.0;3.0
336;154076.0;154343.0;153887.0;-189.0
337;166610.0;166906.0;166609.0;-1.0
338;160519.0;160869.0;160516.0;-3.0
339;156424.0;156692.0;156407.0;-17.0
340;142683.0;142953.0;142696.0;13.0
341;158066.0;158271.0;158065.0;-1.0
342;190970.0;191251.0;190964.0;-6.0
343;173651.0;173964.0;173622.0;-29.0
344;182646.0;182932.0;182616.0;-30.0
345;144137.0;144462.0;143614.0;-523.0
346;196496.0;196714.0;196472.0;-24.0
347;175377.0;175762.0;175376.0;-1.0
348;158282.0;158601.0;158280.0;-2.0
349;154272.0;154570.0;154263.0;-9.0
350;142937.0;143357.0;140643.0;-2294.0
351;154168.0;154617.0;154162.0;-6.0
352;174205.0;174635.0;174203.0;-2.0
353;193127.0;193781.0;193131.0;4.0
354;153953.0;154475.0;153935.0;-18.0
355;131724.0;132110.0;131636.0;-88.0
356;140583.0;141090.0;140579.0;-4.0
357;209316.0;209843.0;209292.0;-24.0
358;191125.0;191829.0;191115.0;-10.0
359;159351.0;159907.0;159337.0;-14.0
360;199111.0;199636.0;199109.0;-2.0
361;198791.0;199350.0;198770.0;-21.0
362;148204.0;148681.0;148195.0;-9.0
363;130910.0;131406.0;130908.0;-2.0
364;133078.0;133486.0;133073.0;-5.0
365;176206.0;177166.0;176201.0;-5.0
366;168205.0;168962.0;168201.0;-4.0
367;152021.0;152822.0;152023.0;2.0
368;172048.0;173227.0;172049.0;1.0
369;174318.0;175022.0;174314.0;-4.0
370;171490.0;172278.0;171479.0;-11.0
371;155590.0;156217.0;155577.0;-13.0
372;160666.0;161655.0;160668.0;2.0
373;160822.0;160986.0;160820.0;-2.0
374;196813.0;198140.0;196807.0;-6.0
375;132350.0;133070.0;132331.0;-19.0
376;131520.0;132170.0;131439.0;-81.0
377;180189.0;181064.0;180175.0;-14.0
378;160987.0;161558.0;160968.0;-19.0
379;185018.0;185683.0;185019.0;1.0
380;144837.0;145169.0;144839.0;2.0
381;179057.0;180134.0;179040.0;-17.0
