BridgeID;ValidFirst;ValidSecond;PartyFirstVotes;FirstDiff
300;191732.0;191839.0;192202.0;470.0
303;171367.0;171646.0;172169.0;802.0
315;166084.0;166838.0;168716.0;2632.0
323;154427.0;154685.0;155448.0;1021.0
335;173958.0;174429.0;175004.0;1046.0
338;160516.0;160872.0;160984.0;468.0
339;156407.0;156684.0;156830.0;423.0
347;175376.0;175761.0;177006.0;1630.0
349;154263.0;154555.0;154878.0;615.0
350;140643.0;141052.0;141424.0;781.0
353;193131.0;193799.0;193850.0;719.0
360;199109.0;199634.0;200345.0;1236.0
361;198770.0;199345.0;199848.0;1078.0
362;148195.0;148678.0;150583.0;2388.0
366;168201.0;168965.0;170042.0;1841.0
371;155577.0;156206.0;157005.0;1428.0
372;160668.0;161653.0;165696.0;5028.0
379;185019.0;185678.0;185837.0;818.0
380;144839.0;145172.0;144967.0;128.0
381;179040.0;180140.0;180753.0;1713.0
392;213387.0;213921.0;213595.0;208.0
400;151438.0;151961.0;152481.0;1043.0
401;172145.0;172565.0;172769.0;624.0
414;110519.0;110839.0;111079.0;560.0
420;146154.0;146582.0;147886.0;1732.0
426;164463.0;164679.0;165672.0;1209.0
429;190902.0;191371.0;191375.0;473.0
440;164087.0;164495.0;164686.0;599.0
447;161932.0;162307.0;163451.0;1519.0
448;151797.0;152146.0;152758.0;961.0
450;182953.0;182993.0;183753.0;800.0
462;162641.0;162816.0;164816.0;2175.0
467;136962.0;137181.0;137564.0;602.0
469;151163.0;151381.0;152098.0;935.0
481;190210.0;190580.0;190650.0;440.0
488;158648.0;158704.0;162189.0;3541.0
490;146626.0;146823.0;147828.0;1202.0
494;174860.0;174983.0;177238.0;2378.0
504;176255.0;176698.0;176857.0;602.0
511;174443.0;174731.0;175810.0;1367.0
518;208016.0;210323.0;209318.0;1302.0
533;136144.0;136362.0;138575.0;2431.0
544;196184.0;196544.0;197013.0;829.0
545;154335.0;154577.0;154862.0;527.0
555;190709.0;190988.0;200863.0;10154.0
558;138497.0;138942.0;139084.0;587.0
559;203578.0;204017.0;204168.0;590.0
585;130071.0;130231.0;132331.0;2260.0
586;169571.0;169946.0;170193.0;622.0
589;171000.0;171477.0;172573.0;1573.0
