GebietLandAbk;GruppennameKurz;Anzahl
NW;SPD;5948854.0
NW;CDU;5540177.0
BY;CSU;5190875.0
BW;CDU;3244928.0
NI;SPD;3102285.0
NW;GRÜNE;3087763.0
BY;SPD;2677545.0
BW;SPD;2535389.0
NI;CDU;2416649.0
BY;GRÜNE;2091565.0
BW;GRÜNE;2080560.0
NW;FDP;1981491.0
HE;SPD;1910164.0
HE;CDU;1662659.0
BW;FDP;1619736.0
NW;AfD;1422530.0
RP;SPD;1382717.0
BY;FDP;1378395.0
NI;GRÜNE;1373461.0
BY;AfD;1314013.0
RP;CDU;1263358.0
SN;AfD;1239925.0
BY;FREIE WÄHLER;1154237.0
BW;AfD;1132394.0
SH;SPD;1024356.0
HE;GRÜNE;1001946.0
SN;CDU;969161.0
BB;SPD;888326.0
SN;SPD;885573.0
SH;CDU;854374.0
BE;SPD;845452.0
NI;FDP;822440.0
BE;GRÜNE;789114.0
HE;FDP;737333.0
NW;DIE LINKE;684816.0
SH;GRÜNE;638396.0
BE;CDU;634529.0
HH;SPD;633173.0
NI;AfD;628466.0
TH;AfD;602204.0
ST;SPD;598282.0
TH;SPD;595470.0
HE;AfD;576315.0
BB;AfD;557390.0
ST;CDU;551649.0
RP;GRÜNE;540381.0
MV;SPD;528776.0
BB;CDU;517559.0
SN;DIE LINKE;512812.0
SN;FDP;491228.0
HH;GRÜNE;487860.0
ST;AfD;477557.0
TH;CDU;477440.0
BE;DIE LINKE;469294.0
RP;FDP;465811.0
SL;SPD;422106.0
RP;AfD;420995.0
BY;DIE LINKE;398368.0
SH;FDP;387230.0
SN;GRÜNE;383704.0
BW;DIE LINKE;372565.0
MV;CDU;340772.0
MV;AfD;335319.0
HH;CDU;334792.0
BE;AfD;300828.0
TH;DIE LINKE;300311.0
BE;FDP;295615.0
SL;CDU;294457.0
NI;DIE LINKE;291442.0
BY;dieBasis;288544.0
NW;Die PARTEI;278695.0
HE;DIE LINKE;273042.0
BB;DIE LINKE;272390.0
BB;FDP;263520.0
BB;GRÜNE;257477.0
BW;FREIE WÄHLER;247033.0
ST;DIE LINKE;242906.0
BW;dieBasis;242259.0
SH;AfD;233207.0
MV;DIE LINKE;217768.0
HB;SPD;211656.0
NW;dieBasis;210823.0
ST;FDP;210108.0
TH;FDP;203291.0
RP;FREIE WÄHLER;200921.0
HH;FDP;199205.0
NW;FREIE WÄHLER;162772.0
RP;DIE LINKE;160266.0
TH;GRÜNE;151405.0
BY;ÖDP;147502.0
NW;Tierschutzpartei;147263.0
ST;GRÜNE;143027.0
MV;FDP;141883.0
HH;DIE LINKE;140085.0
HE;FREIE WÄHLER;137587.0
MV;GRÜNE;134620.0
HB;GRÜNE;128917.0
BW;Die PARTEI;126712.0
HB;CDU;124491.0
SN;FREIE WÄHLER;123245.0
SH;DIE LINKE;119761.0
BY;Die PARTEI;114311.0
SL;AfD;113865.0
SL;FDP;112738.0
BY;Tierschutzpartei;101340.0
HH;AfD;100365.0
NI;dieBasis;98954.0
BW;Tierschutzpartei;96524.0
BE;Tierschutzpartei;94749.0
HE;dieBasis;90842.0
SH;SSW;90605.0
BB;FREIE WÄHLER;87538.0
NI;FREIE WÄHLER;84680.0
SN;dieBasis;83683.0
NI;Tierschutzpartei;83391.0
SL;DIE LINKE;71341.0
BY;BP;69538.0
SN;Die PARTEI;69443.0
BE;Die PARTEI;66892.0
NW;Team Todenhöfer;65137.0
RP;dieBasis;60510.0
NW;Volt;60177.0
TH;FREIE WÄHLER;58341.0
NI;Die PARTEI;56739.0
ST;FREIE WÄHLER;54661.0
HB;FDP;52879.0
HE;Die PARTEI;52338.0
HB;DIE LINKE;51275.0
SH;dieBasis;50531.0
BB;dieBasis;49828.0
HE;Tierschutzpartei;49047.0
SN;Tierschutzpartei;47939.0
BB;Die PARTEI;46628.0
BB;Tierschutzpartei;46558.0
RP;Tierschutzpartei;45246.0
HB;AfD;44140.0
SH;FREIE WÄHLER;43561.0
NW;PIRATEN;43418.0
RP;Die PARTEI;42408.0
ST;dieBasis;41767.0
TH;dieBasis;40121.0
TH;Die PARTEI;38895.0
SH;Die PARTEI;35960.0
BY;Volt;35462.0
BY;PIRATEN;35015.0
MV;Tierschutzpartei;34906.0
BW;ÖDP;34678.0
MV;dieBasis;32355.0
BW;Volt;31766.0
BE;FREIE WÄHLER;31233.0
HH;dieBasis;31220.0
MV;FREIE WÄHLER;31125.0
