PartyID;ShortName;LongName;IsMinority
1;#KLIMAfirst;Erststimme fürs Klima;False
2;#TeamFranka;Unabhängig! Für Dich. Für Uns. Für Alle.;False
3;abgeordnetenwatch.de/profile/christian-pape;abgeordnetenwatch.de/profile/christian-pape;False
4;AfD;Alternative für Deutschland;False
5;Alle in EU;Alle in EU;False
6;Andreas Papst;Andreas Papst;False
7;B*;bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken;False
8;Baasch, Björn;Baasch, Björn;False
9;Bedingungsloses-Grundeinkommen-als-Menschenrecht.de;Bedingungsloses-Grundeinkommen-als-Menschenrecht.de;False
10;Benjamin Jäger;Benjamin Jäger;False
11;BP;Bayernpartei;False
12;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;False
13;BUNDESTAGVERKLEINERUNG;BUNDESTAGVERKLEINERUNG;False
14;Bündnis BERNHARD WINTER: Erfahren. Anders. Ja;Bündnis BERNHARD WINTER: Erfahren. Anders. Ja;False
15;Bündnis C;Bündnis C - Christen für Deutschland;False
16;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;False
17;BÜNDNIS21;diePinken/BÜNDNIS21;False
18;Bürger für Gerechtigkeit;Bürger für Gerechtigkeit;False
19;BÜRGERBEWEGUNG;Bürgerbewegung für Fortschritt und Wandel;False
20;BüSo;Bürgerrechtsbewegung Solidarität;False
21;CDU;Christlich Demokratische Union Deutschlands;False
22;CSU;Christlich-Soziale Union in Bayern e.V.;False
23;Danilo Dröse;Danilo Dröse;False
24;DEMOKRATIE Verantwortung und Gerechtigkeit;DEMOKRATIE Verantwortung und Gerechtigkeit;False
25;Dialog statt Aufrüstung;Dialog statt Aufrüstung;False
26;DiB;DEMOKRATIE IN BEWEGUNG;False
27;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;False
28;Die Grauen;Die Grauen - Für alle Generationen;False
29;Die Linke;Die Linke;False
30;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;False
31;dieBasis;Basisdemokratische Partei Deutschland;False
32;Direkte Demokratie und NATO-Austritt;Direkte Demokratie und NATO-Austritt;False
33;DKP;Deutsche Kommunistische Partei;False
34;du.;Die Urbane. Eine HipHop Partei;False
35;DUW - Stimme für VOLKSENTSCHEIDE;DUW - Stimme für VOLKSENTSCHEIDE;False
36;EB: Asmus;ASMUSfddB;False
37;EB: Balzer;Internationalistisches Bündnis;False
38;EB: Barth;Internationalistische Liste;False
39;EB: Bartholomé;Internationalistisches Bündnis;False
