Gruppenname;GruppennameLang
AfD;Alternative für Deutschland
B*;bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken
BP;Bayernpartei
BÜNDNIS21;diePinken/BÜNDNIS21
BÜRGERBEWEGUNG;Bürgerbewegung für Fortschritt und Wandel
BüSo;Bürgerrechtsbewegung Solidarität
Bündnis C;Bündnis C - Christen für Deutschland
CDU;Christlich Demokratische Union Deutschlands
CSU;Christlich-Soziale Union in Bayern e.V.
DIE LINKE;DIE LINKE
DKP;Deutsche Kommunistische Partei
DiB;DEMOKRATIE IN BEWEGUNG
Die Grauen;Die Grauen - Für alle Generationen
Die Humanisten;Partei der Humanisten
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
EB: Asmus;ASMUSfddB
EB: Balzer;Internationalistisches Bündnis
EB: Barth;Internationalistische Liste
EB: Bartholomé;Internationalistisches Bündnis
EB: Bauer;Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!
EB: Baumanns;KLIMAgerechtigkeitsLISTE
EB: Baydar;Internationalistische Liste
EB: Bayer;www.zeitkaufhaus.de Martin Bayer
EB: Bechtel;Politik durch Bodenständigkeit und Bürgerbeteiligung
EB: Berger;Gebhard Berger
EB: Bibiella;BibiellaBTW
EB: Bieling;Marko Bieling
EB: Bilo;Bilo - für Mülheim nach Berlin
EB: Blickle;Internationalistisches Bündnis
EB: Blum;Klimaliste
EB: Brehm;BRD braucht Brehm
EB: Brähmig;Brähmig
EB: Bunte;Zeit zählt!
EB: Buro;Gesicht zeigen
EB: Böving;ADONIS
EB: Carstensen;Marburger Pogo-Anarchisten
EB: Charnow;Parteilos
EB: Commentz;Demokratie verteidigen
EB: Conrad;für mehr Bürgerbeteiligung
EB: Demir;Demir
EB: Deutsch;Internationalistisches-Bündnis
EB: Dippel;#parteifrei #Gemeinsam gewinnen! #Gemeinsam verändern! Einfach mal anders: Erststimme Dippel!
EB: Dorn;Aktion Bürger für Gerechtigkeit
EB: Dumberger;Internationalistische Liste
EB: Dönmez;Deutschland ist Önders
