Gebietsnummer;Gebietsname;GebietLandAbk
1;Flensburg – Schleswig;SH
2;Nordfriesland – Dithmarschen Nord;SH
3;Steinburg – Dithmarschen Süd;SH
4;Rendsburg-Eckernförde;SH
5;Kiel;SH
6;Plön – Neumünster;SH
7;Pinneberg;SH
8;Segeberg – Stormarn-Mitte;SH
9;Ostholstein – Stormarn-Nord;SH
10;Herzogtum Lauenburg – Stormarn-Süd;SH
11;Lübeck;SH
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;MV
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;MV
14;Rostock – Landkreis Rostock II;MV
15;Vorpommern-Rügen – Vorpommern-Greifswald I;MV
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;MV
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;MV
18;Hamburg-Mitte;HH
19;Hamburg-Altona;HH
20;Hamburg-Eimsbüttel;HH
21;Hamburg-Nord;HH
22;Hamburg-Wandsbek;HH
23;Hamburg-Bergedorf – Harburg;HH
24;Aurich – Emden;NI
25;Unterems;NI
26;Friesland – Wilhelmshaven – Wittmund;NI
27;Oldenburg – Ammerland;NI
28;Delmenhorst – Wesermarsch – Oldenburg-Land;NI
29;Cuxhaven – Stade II;NI
30;Stade I – Rotenburg II;NI
31;Mittelems;NI
32;Cloppenburg – Vechta;NI
33;Diepholz – Nienburg I;NI
34;Osterholz – Verden;NI
35;Rotenburg I – Heidekreis;NI
36;Harburg;NI
37;Lüchow-Dannenberg – Lüneburg;NI
38;Osnabrück-Land;NI
39;Stadt Osnabrück;NI
40;Nienburg II – Schaumburg;NI
41;Stadt Hannover I;NI
42;Stadt Hannover II;NI
43;Hannover-Land I;NI
44;Celle – Uelzen;NI
45;Gifhorn – Peine;NI
46;Hameln-Pyrmont – Holzminden;NI
47;Hannover-Land II;NI
48;Hildesheim;NI
49;Salzgitter – Wolfenbüttel;NI
50;Braunschweig;NI
51;Helmstedt – Wolfsburg;NI
52;Goslar – Northeim – Osterode;NI
53;Göttingen;NI
54;Bremen I;HB
55;Bremen II – Bremerhaven;HB
56;Prignitz – Ostprignitz-Ruppin – Havelland I;BB
57;Uckermark – Barnim I;BB
58;Oberhavel – Havelland II;BB
59;Märkisch-Oderland – Barnim II;BB
60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BB
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BB
62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BB
63;Frankfurt (Oder) – Oder-Spree;BB
64;Cottbus – Spree-Neiße;BB
65;Elbe-Elster – Oberspreewald-Lausitz II;BB
66;Altmark;ST
67;Börde – Jerichower Land;ST
68;Harz;ST
69;Magdeburg;ST
70;Dessau – Wittenberg;ST
71;Anhalt;ST
72;Halle;ST
73;Burgenland – Saalekreis;ST
74;Mansfeld;ST
75;Berlin-Mitte;BE
76;Berlin-Pankow;BE
77;Berlin-Reinickendorf;BE
78;Berlin-Spandau – Charlottenburg Nord;BE
79;Berlin-Steglitz-Zehlendorf;BE
80;Berlin-Charlottenburg-Wilmersdorf;BE
81;Berlin-Tempelhof-Schöneberg;BE
82;Berlin-Neukölln;BE
83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BE
84;Berlin-Treptow-Köpenick;BE
85;Berlin-Marzahn-Hellersdorf;BE
86;Berlin-Lichtenberg;BE
87;Aachen I;NW
88;Aachen II;NW
89;Heinsberg;NW
90;Düren;NW
91;Rhein-Erft-Kreis I;NW
92;Euskirchen – Rhein-Erft-Kreis II;NW
93;Köln I;NW
94;Köln II;NW
95;Köln III;NW
96;Bonn;NW
97;Rhein-Sieg-Kreis I;NW
98;Rhein-Sieg-Kreis II;NW
99;Oberbergischer Kreis;NW
100;Rheinisch-Bergischer Kreis;NW
101;Leverkusen – Köln IV;NW
102;Wuppertal I;NW
103;Solingen – Remscheid – Wuppertal II;NW
104;Mettmann I;NW
105;Mettmann II;NW
106;Düsseldorf I;NW
107;Düsseldorf II;NW
108;Neuss I;NW
109;Mönchengladbach;NW
110;Krefeld I – Neuss II;NW
111;Viersen;NW
112;Kleve;NW
113;Wesel I;NW
114;Krefeld II – Wesel II;NW
115;Duisburg I;NW
116;Duisburg II;NW
117;Oberhausen – Wesel III;NW
118;Mülheim – Essen I;NW
119;Essen II;NW
120;Essen III;NW
121;Recklinghausen I;NW
122;Recklinghausen II;NW
123;Gelsenkirchen;NW
124;Steinfurt I – Borken I;NW
125;Bottrop – Recklinghausen III;NW
126;Borken II;NW
127;Coesfeld – Steinfurt II;NW
128;Steinfurt III;NW
129;Münster;NW
130;Warendorf;NW
131;Gütersloh I;NW
132;Bielefeld – Gütersloh II;NW
133;Herford – Minden-Lübbecke II;NW
134;Minden-Lübbecke I;NW
135;Lippe I;NW
136;Höxter – Gütersloh III – Lippe II;NW
137;Paderborn;NW
138;Hagen – Ennepe-Ruhr-Kreis I;NW
139;Ennepe-Ruhr-Kreis II;NW
140;Bochum I;NW
141;Herne – Bochum II;NW
142;Dortmund I;NW
143;Dortmund II;NW
144;Unna I;NW
145;Hamm – Unna II;NW
146;Soest;NW
147;Hochsauerlandkreis;NW
148;Siegen-Wittgenstein;NW
149;Olpe – Märkischer Kreis I;NW
150;Märkischer Kreis II;NW
151;Nordsachsen;SN
152;Leipzig I;SN
153;Leipzig II;SN
154;Leipzig-Land;SN
155;Meißen;SN
156;Bautzen I;SN
157;Görlitz;SN
